Zeitstempel;Market/contact;norm_name;Filename;Assessed level;Date of pic;Time;Skip #;;;;;;
9.28.2023 18:25:44;Ndirande;ndirande;WhatsApp Image 2023-09-28 at 11.11.56.jpg;3;28.09.2023;11:11:00;1;;;;;;
9.28.2023 18:26:08;Ndirande;ndirande;;4;28.09.2023;11:11:00;2;;;;;;
9.28.2023 18:27:15;Blantyre;blantyre produce market;WhatsApp Image 2023-09-28 at 08.19.14.jpg;5;28.09.2023;08:19:00;;;;;;;
9.28.2023 18:27:52;Limbe flea market;limbe flea market;WhatsApp Image 2023-09-28 at 10.59.48.jpg;4;28.09.2023;10:59:00;;;;;;;
9.28.2023 18:28:30;Limbe produce market;limbe produce market;WhatsApp Image 2023-09-28 at 11.12.28.jpg;5;28.09.2023;11:12:00;1;;;;;;
9.28.2023 18:29:12;Limbe produce market;limbe produce market;WhatsApp Image 2023-09-28 at 11.12.28.jpg;4;28.09.2023;11:12:00;2;;;;;;
9.28.2023 18:30:01;Pafumbi bus;pafumbi bus;WhatsApp Image 2023-09-28 at 11.18.23.jpg;3;28.09.2023;11:18:00;;;;;;;
9.28.2023 18:30:32;ITG;ITG;WhatsApp Image 2023-09-28 at 11.30.11.jpg;4;28.09.2023;11:30:00;1;;;;;;
9.28.2023 18:31:10;ITG;ITG;WhatsApp Image 2023-09-28 at 11.30.11.jpg;1;28.09.2023;11:30:00;2;;;;;;
9.28.2023 18:32:32;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-09-28 at 08.59.57.jpg;5;28.09.2023;08:59:00;;;;;;;
9.28.2023 18:33:27;Kamba/Soche market;kamba/soche market;WhatsApp Image 2023-09-28 at 09.06.19.jpg;4;28.09.2023;09:06:00;;;;;;;
9.28.2023 18:34:29;Chemusa;chemusa;WhatsApp Image 2023-09-28 at 09.01.19.jpg;5;28.09.2023;09:01:00;;;;;;;
9.28.2023 18:36:35;South Lunzu;south lunzu;WhatsApp Image 2023-09-27 at 08.17.22.jpg;5;28.09.2023;13:34:00;;;;;;;
9.28.2023 18:37:31;Kachere;kachere;WhatsApp Image 2023-09-28 at 10.04.39.jpg;2;28.09.2023;10:04:00;;;;;;;
9.28.2023 18:38:04;Kachere;kachere;WhatsApp Image 2023-09-28 at 16.29.58.jpg;2;28.09.2023;16:29:00;;;;;;;
9.28.2023 18:39:17;Nkolokoti;nkolokoti;WhatsApp Image 2023-09-28 at 18.38.51.jpg;4;28.09.2023;17:48:00;;;;;;;
9.28.2023 19:03:47;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-09-28 at 19.02.05.jpg;2;28.09.2023;17:00:00;;;;;;;
9.28.2023 19:04:49;Zingwangwa waterboard;zingwangwa waterboard;WhatsApp Image 2023-09-27 at 09.43.29.jpg;2;28.09.2023;09:43:00;;;;;;;
9.28.2023 19:06:43;Queens guardian shelter;queens guardian shelter;WhatsApp Image 2023-09-28 at 19.05.54.jpg;0;28.09.2023;09:54:00;;;;;;;
9.29.2023 11:57:23;Nthukwa;nthukwa;WhatsApp Image 2023-09-29 at 06.26.00.jpg;5;29.09.2023;06:26:00;;;;;;;
9.29.2023 12:00:16;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-09-29 at 07.35.03.jpg;1;29.09.2023;07:35:00;;;;;;;
