Zeitstempel;Market/contact;norm_name;Filename;Assessed level;Date of pic;Time;Skip #;;;;;;
10.07.2023 19:00;Pafumbi bus;pafumbi bus;WhatsApp Image 2023-10-07 at 10.39.43_7da1adaa.jpg;Ambiguous/not overflowing;07.10.2023;10:39:00;;;;;;;
10.07.2023 19:01;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-07 at 10.40.11_cf215aad.jpg;5;07.10.2023;10:40:00;1;;;;;;
10.07.2023 19:01;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-07 at 10.40.11_cbd90cb1.jpg;5;07.10.2023;10:40:00;2;;;;;;
10.07.2023 19:02;Limbe flea market;limbe flea market;WhatsApp Image 2023-10-07 at 10.40.42_1bca26bc.jpg;5;07.10.2023;10:40:00;;;;;;;
10.07.2023 19:03;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-06 at 06.56.10_1d59a497.jpg;4;06.10.2023;06:56:00;;;;;;;
10.07.2023 19:04;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-06 at 22.43.33_5660242f.jpg;4;06.10.2023;17:00:00;;;;;;;
10.07.2023 19:07;Blantyre;blantyre produce market;WhatsApp Image 2023-10-07 at 19.06.13_436782b7.jpg;5;06.10.2023;08:57:00;;;;;;;
10.07.2023 19:07;Blantyre;blantyre produce market;WhatsApp Image 2023-10-07 at 08.20.24_d51e6240.jpg;5;07.10.2023;08:20:00;;;;;;;
10.07.2023 19:08;South Lunzu;south lunzu;WhatsApp Image 2023-10-05 at 16.23.46_0790f0ab.jpg;5;05.10.2023;16:23:00;;;;;;;
10.07.2023 19:09;South Lunzu;south lunzu;WhatsApp Image 2023-10-06 at 08.19.06_da592b1b.jpg;5;06.10.2023;08:19:00;;;;;;;
10.07.2023 19:10;Blantyre;blantyre produce market;WhatsApp Image 2023-10-07 at 09.33.34_9fd1fe15.jpg;5;07.10.2023;09:33:00;;;;;;;
10.07.2023 19:12;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-05 at 11.02.54_bbcf496c.jpg;5;05.10.2023;11:02:00;;;;;;;
10.07.2023 19:13;Kamba/Soche market;kamba/soche market;WhatsApp Image 2023-10-05 at 11.33.54_5c12dc0e.jpg;4;05.10.2023;11:33:00;;;;;;;
10.07.2023 19:15;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-06 at 08.53.18_1f53e50f.jpg;Ambiguous/not overflowing;06.10.2023;08:53:00;;;;;;;
10.07.2023 19:15;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-07 at 13.16.48_24afd740.jpg;Ambiguous/not overflowing;07.10.2023;10:00:00;;;;;;;
10.07.2023 19:16;Kachere;kachere;WhatsApp Image 2023-10-05 at 16.13.29_94c54ede.jpg;5;06.10.2023;16:13:00;;;;;;;
10.07.2023 19:17;Kachere;kachere;WhatsApp Image 2023-10-06 at 10.10.52_1648715b.jpg;5;06.10.2023;10:10:00;;;;;;;
10.07.2023 19:17;Kachere;kachere;WhatsApp Image 2023-10-06 at 16.34.36_843d20c1.jpg;5;06.10.2023;16:34:00;;;;;;;
10.07.2023 19:19;Kachere;kachere;WhatsApp Image 2023-10-07 at 08.37.26_c44e0fb9.jpg;5;07.10.2023;08:37:00;;;;;;;
10.07.2023 19:19;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-07 at 15.23.27_f31818f0.jpg;3;07.10.2023;15:23:00;;;;;;;
10.09.2023 18:12;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-08 at 09.31.39_2db18595.jpg;3;08.10.2023;09:31:00;;;;;;;
10.09.2023 18:14;Nthukwa;nthukwa;WhatsApp Image 2023-10-08 at 05.50.51_fb13d8c6.jpg;Ambiguous/not overflowing;08.10.2023;05:50:00;;;;;;;
10.09.2023 18:14;Nthukwa;nthukwa;WhatsApp Image 2023-10-09 at 05.50.51_7b931196.jpg;Ambiguous/not overflowing;09.10.2023;05:50:00;;;;;;;
10.09.2023 18:16;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-09 at 08.57.31_e9ba2f7f.jpg;4;09.10.2023;08:57:00;;;;;;;
10.09.2023 18:16;Blantyre;blantyre produce market;WhatsApp Image 2023-10-09 at 08.01.02_abb9c86e.jpg;5;09.10.2023;08:03:00;;;;;;;
10.09.2023 18:18;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-08 at 11.30.36_df34d7bb.jpg;4;08.10.2023;11:30:00;;;;;;;
10.09.2023 18:19;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-09 at 09.31.42_f2e1aaf1.jpg;4;09.10.2023;09:30:00;;;;;;;
10.09.2023 18:19;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-09 at 09.36.38_dc711f2a.jpg;5;09.10.2023;09:36:00;;;;;;;
10.09.2023 18:20;Manase;manase;WhatsApp Image 2023-10-08 at 06.52.53_b6ae423f.jpg;5;08.10.2023;06:52:00;;;;;;;
10.09.2023 18:21;Manase;manase;WhatsApp Image 2023-10-09 at 12.34.36_be868038.jpg;5;09.10.2023;12:34:00;;;;;;;
10.09.2023 18:22;Nkolokoti;nkolokoti;WhatsApp Image 2023-10-07 at 09.27.52_f91df7c1.jpg;5;07.10.2023;09:27:00;;;;;;;
10.09.2023 18:23;Nkolokoti;nkolokoti;WhatsApp Image 2023-10-09 at 18.23.08_6f3a9683.jpg;5;09.10.2023;13:36:00;;;;;;;
10.09.2023 18:24;Ndirande;ndirande;WhatsApp Image 2023-10-09 at 14.39.41_7658601c.jpg;4;09.10.2023;14:39:00;1;;;;;;
10.09.2023 18:24;Ndirande;ndirande;WhatsApp Image 2023-10-09 at 14.39.41_db72cd6e.jpg;2;09.10.2023;14:39:00;2;;;;;;
10.09.2023 18:25;South Lunzu;south lunzu;WhatsApp Image 2023-10-09 at 10.29.21_5d82f933.jpg;2;09.10.2023;10:29:00;;;;;;;
10.09.2023 18:26;South Lunzu;south lunzu;WhatsApp Image 2023-10-09 at 16.27.10_5d51f165.jpg;2;09.10.2023;16:27:00;;;;;;;
10.09.2023 18:27;Kachere;kachere;;5;07.10.2023;17:36:00;;;;;;;
10.09.2023 18:27;Kachere;kachere;WhatsApp Image 2023-10-09 at 10.35.13_29087d25.jpg;5;09.10.2023;10:35:00;;;;;;;
10.09.2023 18:28;Kachere;kachere;WhatsApp Image 2023-10-09 at 17.43.15_9255f8ca.jpg;5;09.10.2023;17:00:00;;;;;;;
10.09.2023 18:29;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-09 at 17.41.27_938d4c9f.jpg;4;08.10.2023;10:00:00;;;;;;;
10.09.2023 18:52;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-09 at 17.45.39_a1ce8268.jpg;4;09.10.2023;17:00:00;;;;;;;
10.09.2023 19:25;Chemusa;chemusa;WhatsApp Image 2023-10-09 at 19.23.50_283c4284.jpg;4;09.10.2023;10:00:00;;;;;;;
10.10.2023 20:00;Nthukwa;nthukwa;WhatsApp Image 2023-10-10 at 05.57.00_c4829817.jpg;4;10.10.2023;05:57:00;;;;;;;
10.10.2023 20:01;South Lunzu;south lunzu;WhatsApp Image 2023-10-10 at 08.21.01_3e519758.jpg;4;10.10.2023;08:21:00;;;;;;;
10.10.2023 20:01;Kachere;kachere;WhatsApp Image 2023-10-10 at 08.45.53_a10a7638.jpg;5;10.10.2023;08:45:00;;;;;;;
10.10.2023 20:02;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-10 at 08.42.51_66ff00e9.jpg;5;10.10.2023;08:42:00;;;;;;;
10.10.2023 20:03;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-10 at 08.24.05_085d930e.jpg;4;10.10.2023;08:24:00;;;;;;;
10.10.2023 20:04;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-10 at 10.58.33_259cfde8.jpg;5;10.10.2023;10:54:00;;;;;;;
10.10.2023 20:04;Blantyre;blantyre produce market;WhatsApp Image 2023-10-10 at 08.56.03_3cd8b9ab.jpg;5;10.10.2023;08:56:00;;;;;;;
10.10.2023 20:05;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-10 at 17.48.26_4025807c.jpg;5;10.10.2023;17:48:00;;;;;;;
10.11.2023 19:44;Nthukwa;nthukwa;WhatsApp Image 2023-10-11 at 05.39.03_6faa2342.jpg;4;11.10.2023;05:39:00;;;;;;;
10.11.2023 19:45;Mibawa;mibawa;WhatsApp Image 2023-10-11 at 07.44.00_bf1c35f5.jpg;Ambiguous/not overflowing;11.10.2023;07:44:00;1;;;;;;
10.11.2023 19:46;Mibawa;mibawa;WhatsApp Image 2023-10-11 at 07.44.00_999856b2.jpg;5;11.10.2023;07:44:00;2;;;;;;
10.11.2023 19:47;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-11 at 08.47.01_2d3d0682.jpg;4;11.10.2023;08:47:00;;;;;;;
10.11.2023 19:47;Manase;manase;WhatsApp Image 2023-10-11 at 10.25.34_9aba2db7.jpg;5;11.10.2023;10:25:00;;;;;;;
10.11.2023 19:49;Nkolokoti;nkolokoti;WhatsApp Image 2023-10-11 at 19.48.49_2307dd34.jpg;5;11.10.2023;13:14:00;;;;;;;
10.11.2023 19:50;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-11 at 12.38.20_260ddfc3.jpg;5;11.10.2023;12:38:00;;;;;;;
10.11.2023 19:51;South Lunzu;south lunzu;WhatsApp Image 2023-10-11 at 15.46.08_915f9430.jpg;3;11.10.2023;15:46:00;;;;;;;
10.11.2023 19:52;Kamba/Soche market;kamba/soche market;WhatsApp Image 2023-10-10 at 20.54.27_46d19b9c.jpg;5;10.10.2023;17:00:00;;;;;;;
10.11.2023 19:55;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-10 at 20.56.27_13fd1167.jpg;4;10.10.2023;17:00:00;;;;;;;
10.11.2023 19:56;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-11 at 10.35.53_52c2f600.jpg;5;11.10.2023;10:35:00;;;;;;;
10.11.2023 19:58;Ndirande;ndirande;WhatsApp Image 2023-10-11 at 19.57.43_6d396b09.jpg;5;10.10.2023;17:00:00;1;;;;;;
10.11.2023 19:59;Ndirande;ndirande;WhatsApp Image 2023-10-11 at 19.57.43_f626834d.jpg;Ambiguous/not overflowing;10.10.2023;17:00:00;2;;;;;;
10.11.2023 20:00;Kachere;kachere;WhatsApp Image 2023-10-11 at 08.15.17_03e870b5.jpg;5;10.10.2023;17:00:00;;;;;;;
10.11.2023 20:00;Kachere;kachere;WhatsApp Image 2023-10-11 at 08.10.07_38c2b499.jpg;5;11.10.2023;08:10:00;;;;;;;
10.11.2023 20:01;Kachere;kachere;WhatsApp Image 2023-10-11 at 16.42.49_a5880b0e.jpg;4;11.10.2023;16:42:00;;;;;;;
10.11.2023 20:02;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-11 at 11.43.50_8bfc6feb.jpg;5;11.10.2023;11:43:00;;;;;;;
10.11.2023 20:03;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-11 at 17.09.03_ec2a616f.jpg;5;11.10.2023;17:09:00;;;;;;;
10.11.2023 20:04;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-11 at 18.05.07_d6650108.jpg;4;10.10.2023;18:00:00;;;;;;;
10.11.2023 20:05;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-11 at 18.05.07_1c48522a.jpg;4;11.10.2023;18:00:00;;;;;;;
10.12.2023 20:00;Nthukwa;nthukwa;WhatsApp Image 2023-10-12 at 05.36.00_94fde20c.jpg;4;12.10.2023;05:36:00;;;;;;;
10.12.2023 20:04;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-12 at 07.52.03_ceb58d67.jpg;5;12.10.2023;07:52:00;;;;;;;
10.12.2023 20:05;Chemusa;chemusa;WhatsApp Image 2023-10-12 at 11.21.45_51fe3d46.jpg;1;12.10.2023;11:21:00;;;;;;;
10.12.2023 20:06;Blantyre;blantyre produce market;WhatsApp Image 2023-10-12 at 14.40.12_1ea01ca3.jpg;Ambiguous/not overflowing;12.10.2023;14:40:00;;;;;;;
10.12.2023 20:06;Ndirande;ndirande;WhatsApp Image 2023-10-12 at 11.01.04_07ef98f3.jpg;5;12.10.2023;11:01:00;1;;;;;;
10.12.2023 20:07;Ndirande;ndirande;WhatsApp Image 2023-10-12 at 11.01.04_a8867dc2.jpg;5;12.10.2023;11:01:00;2;;;;;;
10.12.2023 20:08;Kachere;kachere;WhatsApp Image 2023-10-12 at 09.43.43_fb561866.jpg;3;12.10.2023;09:43:00;;;;;;;
10.12.2023 20:11;Kachere;kachere;WhatsApp Image 2023-10-12 at 16.38.10_0906f00d.jpg;3;12.10.2023;16:38:00;;;;;;;
10.12.2023 20:12;South Lunzu;south lunzu;WhatsApp Image 2023-10-12 at 10.11.33_d2fff8f8.jpg;3;12.10.2023;10:11:00;;;;;;;
10.12.2023 20:14;South Lunzu;south lunzu;WhatsApp Image 2023-10-12 at 16.54.16_cc379d65.jpg;4;12.10.2023;16:54:00;;;;;;;
10.12.2023 20:15;Manase;manase;WhatsApp Image 2023-10-12 at 17.25.42_5cc72a8c.jpg;4;12.10.2023;17:25:00;;;;;;;
10.12.2023 20:16;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-12 at 06.52.47_0cd9f2d6.jpg;5;12.10.2023;06:52:00;;;;;;;
10.12.2023 20:16;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-12 at 18.45.10_cc395269.jpg;5;12.10.2023;17:30:00;;;;;;;
10.13.2023 17:59:53;Nthukwa;nthukwa;WhatsApp Image 2023-10-13 at 05.35.28_4eec03ed.jpg;4;13.10.2023;05:35:00;;;;;;;
10.13.2023 18:00:39;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-13 at 06.46.47_db416a2b.jpg;5;13.10.2023;06:46:00;;;;;;;
10.13.2023 18:03:09;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-13 at 07.40.55_0f019980.jpg;5;13.10.2023;07:40:00;;;;;;;
10.13.2023 18:04:06;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-13 at 08.02.23_81e2e837.jpg;4;13.10.2023;08:02:00;;;;;;;
10.13.2023 18:04:57;South Lunzu;south lunzu;WhatsApp Image 2023-10-13 at 08.20.23_52b1fa15.jpg;3;13.10.2023;08:20:00;;;;;;;
10.13.2023 18:07:19;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-13 at 08.08.59_b95d931d.jpg;5;13.10.2023;08:08:00;;;;;;;
10.13.2023 18:08:04;Ndirande;ndirande;WhatsApp Image 2023-10-13 at 09.49.41_6dc2d43c.jpg;2;13.10.2023;09:49:00;1;;;;;;
10.13.2023 18:08:41;Ndirande;ndirande;WhatsApp Image 2023-10-13 at 09.49.41_200ff7b3.jpg;5;13.10.2023;09:49:00;2;;;;;;
10.13.2023 18:09:40;Mibawa;mibawa;WhatsApp Image 2023-10-13 at 09.51.23_f29baa72.jpg;4;13.10.2023;09:51:00;1;;;;;;
10.13.2023 18:10:18;Mibawa;mibawa;WhatsApp Image 2023-10-13 at 09.51.23_852cddaf.jpg;5;13.10.2023;09:51:00;2;;;;;;
10.13.2023 18:10:49;Blantyre;blantyre produce market;WhatsApp Image 2023-10-13 at 10.06.09_1d648123.jpg;2;13.10.2023;10:06:00;;;;;;;
10.13.2023 18:11:38;Kamba/Soche market;kamba/soche market;WhatsApp Image 2023-10-13 at 09.23.51_d7ede3d3.jpg;Ambiguous/not overflowing;13.10.2023;09:23:00;;;;;;;
10.13.2023 18:12:25;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-13 at 09.24.43_97c3f017.jpg;4;13.10.2023;09:24:00;;;;;;;
10.13.2023 18:13:08;Kachere;kachere;WhatsApp Image 2023-10-13 at 08.50.44_6f4f822d.jpg;5;13.10.2023;08:50:00;;;;;;;
10.13.2023 18:13:46;Kachere;kachere;WhatsApp Image 2023-10-13 at 16.48.02_8270ac3a.jpg;5;13.10.2023;16:48:00;;;;;;;
10.14.2023 18:18:33;Nthukwa;nthukwa;WhatsApp Image 2023-10-14 at 05.32.01_faf399ed.jpg;5;14.10.2023;05:32:00;;;;;;;
10.14.2023 18:19:41;Mibawa;mibawa;;5;14.10.2023;09:19:00;1;;;;;;
10.14.2023 18:20:08;Mibawa;mibawa;;5;14.10.2023;09:19:00;2;;;;;;
10.14.2023 18:20:32;Mibawa;mibawa;;5;14.10.2023;17:01:00;1;;;;;;
10.14.2023 18:21:20;Mibawa;mibawa;WhatsApp Image 2023-10-14 at 17.01.27_c700dde1.jpg;Ambiguous/not overflowing;14.10.2023;17:01:00;2;;;;;;
10.14.2023 18:22:25;Blantyre;blantyre produce market;WhatsApp Image 2023-10-14 at 15.11.03_235ac900.jpg;3;14.10.2023;15:11:00;;;;;;;
10.14.2023 18:24:25;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-14 at 17.43.05_7652dd08.jpg;4;14.10.2023;10:00:00;;;;;;;
10.14.2023 18:25:12;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-14 at 17.43.54_e7c9bd95.jpg;3;14.10.2023;17:00:00;;;;;;;
10.15.2023 18:24:18;Nthukwa;nthukwa;WhatsApp Image 2023-10-15 at 05.35.04_1bce5e21.jpg;5;15.10.2023;05:35:00;;;;;;;
10.15.2023 18:26:27;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-15 at 18.26.01_1d4fabff.jpg;5;15.10.2023;07:36:00;;;;;;;
10.15.2023 18:26:57;Kachere;kachere;WhatsApp Image 2023-10-15 at 08.03.27_0ff7163b.jpg;5;15.10.2023;08:03:00;;;;;;;
10.15.2023 18:27:33;Manase;manase;WhatsApp Image 2023-10-15 at 09.04.54_1f302c14.jpg;5;15.10.2023;09:04:00;;;;;;;
10.15.2023 18:28:08;Mibawa;mibawa;WhatsApp Image 2023-10-15 at 10.44.38_2361b078.jpg;Ambiguous/not overflowing;15.10.2023;10:44:00;1;;;;;;
10.15.2023 18:28:46;Mibawa;mibawa;WhatsApp Image 2023-10-15 at 10.44.38_f37db65f.jpg;Ambiguous/not overflowing;15.10.2023;10:44:00;2;;;;;;
10.15.2023 18:29:47;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-15 at 11.12.52_baf4e0ce.jpg;5;15.10.2023;11:12:00;;;;;;;
10.15.2023 19:31:44;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-15 at 19.27.48_f2a2dcf4.jpg;5;15.10.2023;19:27:00;;;;;;;
10.16.2023 20:54:51;Nthukwa;nthukwa;WhatsApp Image 2023-10-16 at 05.24.51_cba3df78.jpg;5;16.10.2023;05:24:00;;;;;;;
10.16.2023 20:55:40;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-16 at 07.34.49_f20b6192.jpg;5;16.10.2023;07:34:00;;;;;;;
10.16.2023 20:57:24;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-16 at 08.24.03_897900bb.jpg;5;16.10.2023;08:24:00;;;;;;;
10.16.2023 20:58:01;Ndirande;ndirande;WhatsApp Image 2023-10-16 at 15.06.06_9bd390ca.jpg;5;16.10.2023;15:06:00;1;;;;;;
10.16.2023 20:58:36;Ndirande;ndirande;WhatsApp Image 2023-10-16 at 15.06.06_561751de.jpg;Ambiguous/not overflowing;16.10.2023;15:06:00;2;;;;;;
10.16.2023 20:59:05;Manase;manase;WhatsApp Image 2023-10-16 at 17.25.10_a88896d0.jpg;5;16.10.2023;17:25:00;;;;;;;
10.16.2023 20:59:40;Kachere;kachere;WhatsApp Image 2023-10-16 at 09.38.54_38735907.jpg;5;16.10.2023;09:38:00;;;;;;;
10.16.2023 21:00:09;Kachere;kachere;WhatsApp Image 2023-10-16 at 17.31.13_068ca6c4.jpg;5;16.10.2023;17:31:00;;;;;;;
10.16.2023 21:00:44;South Lunzu;south lunzu;WhatsApp Image 2023-10-16 at 07.56.27_9a4da549.jpg;1;16.10.2023;07:56:00;;;;;;;
10.16.2023 21:01:20;South Lunzu;south lunzu;WhatsApp Image 2023-10-16 at 16.08.15_57eb5621.jpg;2;16.10.2023;16:08:00;;;;;;;
10.16.2023 22:41:54;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-16 at 22.15.16_54fde56a.jpg;5;16.10.2023;22:15:00;;;;;;;
10.17.2023 19:00:43;Nthukwa;nthukwa;WhatsApp Image 2023-10-17 at 05.36.12_4745ab1e.jpg;5;17.10.2023;05:36:00;;;;;;;
10.17.2023 19:01:29;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-17 at 08.48.54_38a8536f.jpg;5;17.10.2023;08:48:00;;;;;;;
10.17.2023 19:02:16;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-17 at 09.19.40_57a9b451.jpg;5;17.10.2023;09:19:00;;;;;;;
10.17.2023 19:02:59;Manase;manase;WhatsApp Image 2023-10-17 at 10.33.21_d9281231.jpg;5;17.10.2023;10:33:00;;;;;;;
10.17.2023 19:04:00;ITG;ITG;WhatsApp Image 2023-10-17 at 13.22.02_9cbd4945.jpg;5;17.10.2023;13:22:00;1;;;;;;
10.17.2023 19:04:33;ITG;ITG;WhatsApp Image 2023-10-17 at 13.22.02_29ae1125.jpg;Ambiguous/not overflowing;17.10.2023;13:22:00;2;;;;;;
10.17.2023 19:05:32;Pafumbi bus;pafumbi bus;WhatsApp Image 2023-10-17 at 13.34.32_1fa1ef8f.jpg;5;17.10.2023;13:34:00;;;;;;;
10.17.2023 19:06:07;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-17 at 13.44.41_c87f1e52.jpg;5;17.10.2023;13:44:00;1;;;;;;
10.17.2023 19:06:38;Limbe produce market;limbe produce market;WhatsApp Image 2023-10-17 at 13.44.41_3e97f8c5.jpg;3;17.10.2023;13:44:00;2;;;;;;
10.17.2023 19:07:12;Limbe flea market;limbe flea market;WhatsApp Image 2023-10-17 at 13.51.14_d54683d1.jpg;Ambiguous/not overflowing;17.10.2023;13:51:00;;;;;;;
10.17.2023 19:07:49;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-17 at 12.37.24_42e15c66.jpg;5;17.10.2023;12:37:00;;;;;;;
10.17.2023 19:09:20;South Lunzu;south lunzu;WhatsApp Image 2023-10-17 at 08.13.36_f2353139.jpg;2;17.10.2023;08:13:00;;;;;;;
10.17.2023 19:10:10;South Lunzu;south lunzu;WhatsApp Image 2023-10-17 at 19.09.31_fe9cd2e6.jpg;2;17.10.2023;16:31:00;;;;;;;
10.17.2023 19:10:51;Blantyre;blantyre produce market;WhatsApp Image 2023-10-17 at 14.35.21_f87caa00.jpg;5;17.10.2023;14:35:00;;;;;;;
10.17.2023 19:11:54;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-17 at 09.31.22_c21d8503.jpg;1;17.10.2023;08:19:00;;;;;;;
10.17.2023 19:12:34;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-17 at 17.07.59_5815d8c1.jpg;Ambiguous/not overflowing;17.10.2023;17:07:00;;;;;;;
10.17.2023 19:13:26;Kachere;kachere;WhatsApp Image 2023-10-17 at 11.07.29_593e4a27.jpg;5;17.10.2023;11:07:00;;;;;;;
10.17.2023 19:13:54;Kachere;kachere;WhatsApp Image 2023-10-17 at 16.46.47_fbe5399e.jpg;5;17.10.2023;16:46:00;;;;;;;
10.17.2023 19:14:59;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-17 at 17.47.42_8bc187ef.jpg;3;16.10.2023;10:00:00;;;;;;;
10.17.2023 19:15:30;Namwalimwe;namwalimwe;WhatsApp Image 2023-10-17 at 17.49.05_95f8c331.jpg;4;17.10.2023;17:49:00;;;;;;;
10.19.2023 18:26:02;Nkolokoti;nkolokoti;WhatsApp Image 2023-10-18 at 11.05.51_6e645d99.jpg;3;18.10.2023;11:05:00;;;;;;;
10.19.2023 18:27:46;Chilobwe police;chilobwe police;WhatsApp Image 2023-10-18 at 12.24.57_dc82d65b.jpg;5;18.10.2023;12:24:00;;;;;;;
10.19.2023 18:29:30;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-10-18 at 09.56.10_c27a114b.jpg;5;18.10.2023;09:56:00;;;;;;;
10.19.2023 18:30:27;Nthukwa;nthukwa;WhatsApp Image 2023-10-18 at 05.26.49_f028848f.jpg;5;18.10.2023;05:26:00;;;;;;;
10.19.2023 18:31:29;Nthukwa;nthukwa;WhatsApp Image 2023-10-19 at 05.34.31_10fc7f89.jpg;5;19.10.2023;05:34:00;;;;;;;
10.19.2023 18:33:48;Manase;manase;WhatsApp Image 2023-10-18 at 10.08.32_ff857e83.jpg;4;18.10.2023;10:08:00;;;;;;;
10.19.2023 18:34:59;Manase;manase;IMG_2612.jpg;5;19.10.2023;09:32:00;;;;;;;
10.19.2023 18:36:06;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-18 at 09.55.46_f898c078.jpg;Ambiguous/not overflowing;18.10.2023;09:55:00;;;;;;;
10.19.2023 18:37:10;Chilomoni market;chilomoni market;WhatsApp Image 2023-10-19 at 09.21.18_ad2f7ddd.jpg;3;19.10.2023;09:21:00;;;;;;;
10.19.2023 18:38:04;Blantyre;blantyre produce market;WhatsApp Image 2023-10-18 at 10.13.22_515a3e1a.jpg;5;18.10.2023;10:13:00;;;;;;;
10.19.2023 18:39:48;Blantyre;blantyre produce market;WhatsApp Image 2023-10-19 at 18.39.09_50f3769c.jpg;5;19.10.2023;10:30:00;;;;;;;
10.19.2023 18:40:53;Ndirande;ndirande;WhatsApp Image 2023-10-18 at 14.55.43_cb888ba6.jpg;5;18.10.2023;14:55:00;1;;;;;;
10.19.2023 18:41:26;Ndirande;ndirande;WhatsApp Image 2023-10-18 at 14.56.05_3b2f71c1.jpg;5;18.10.2023;14:56:00;2;;;;;;
10.19.2023 18:42:11;Ndirande;ndirande;WhatsApp Image 2023-10-19 at 12.07.15_e053dae2.jpg;5;19.10.2023;12:06:00;1;;;;;;
10.19.2023 18:43:06;Ndirande;ndirande;WhatsApp Image 2023-10-19 at 12.06.58_16eb745e.jpg;5;19.10.2023;12:06:00;2;;;;;;
10.19.2023 18:44:54;Kachere;kachere;WhatsApp Image 2023-10-18 at 09.40.53_41609dea.jpg;5;18.10.2023;09:40:00;;;;;;;
10.19.2023 18:45:34;Kachere;kachere;WhatsApp Image 2023-10-18 at 16.19.37_d1bd5c5f.jpg;5;18.10.2023;16:19:00;;;;;;;
10.19.2023 18:46:43;Kachere;kachere;WhatsApp Image 2023-10-19 at 09.59.49_a700eb37.jpg;5;19.10.2023;09:59:00;;;;;;;
10.19.2023 18:47:20;Kachere;kachere;WhatsApp Image 2023-10-19 at 16.17.46_8034a663.jpg;5;19.10.2023;16:17:00;;;;;;;
10.19.2023 18:48:06;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-18 at 09.33.26_baa21442.jpg;5;18.10.2023;09:33:00;;;;;;;
10.19.2023 18:48:46;Zingwangwa mosque;zingwangwa mosque;WhatsApp Image 2023-10-19 at 10.56.00_f2f7edd9.jpg;5;19.10.2023;10:56:00;;;;;;;
10.19.2023 18:50:00;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-18 at 08.54.56_ac77f0dd.jpg;Ambiguous/not overflowing;18.10.2023;08:54:00;;;;;;;
10.19.2023 18:51:12;Chilomoni Fargo;chilomoni fargo;WhatsApp Image 2023-10-18 at 18.36.32_4c905076.jpg;3;18.10.2023;18:36:00;;;;;;;
